1	Poor quality
2	The shoes are very cute, but after the 2nd day of wearing them the tongue started ripping. After the 3rd day of wearing them the plastic on the side ripped. They could have ripped bc I was wearing them to work and I do a lot of walking at work. If you’re going to buy these I don’t recommend wearing them on days where you will do a lot of walking or they might rip
3	Good quality
4	Great
5	Great quality and comfort shoesI was so thrilled when I got my new shoes last week! I had bought a pair of a RAVON shoes over two years ago at an expensive shoe store and I did not regret spending the money because they were perfect walking shoes and they gave me plenty of support and I have a bunion on my left big toe and I had plenty of room for that foot. Tmy new ones just like my old pair as far as being comfortable and they keepI got me balanced. By the way my original pair that are 2 1/2 years old are still good but I am using them to mow grass in because I feel safe walking in them. I wanted new ones because I needed some pretty ones that weren’t grungy looking. I am 67And being balanced is ver  important to me. I highly recommend these shoes because of the wonderful quality and comfort and I got them on sale! What a deal so I feel like I won the lottery! Also I neglected to mention they are very classy looking. Very well-made and beautiful and striking.
6	I would NOT recommend these for running. They have zero support and I could feel the rocks in the ground through the shoe. They are also shaped really weird. The sole protrudes out in the back all around the heel and makes your foot appear much larger than it should.
7	These shoes are cute online but in person...not so much.The shoe is super light weight and flimsy feeling.  Because of this, it feels as if there is no support/stability.My partial orthotic fit well into the heel of the shoe.The shoe not only has aqua-colored accents (shoe string eyelets) but also has an aqua liner throughout the shoe. As I was slipping my socked foot into the shoe for the first time, that inner liner sort of bunched up and made the shoe top look distorted. As if the liner pushed forward and down causing the upper portion and toe of the shoe to twist upward.  Not a nice look.  At that point I decided that I didn't want to struggle with getting the shoe on each time.  I'm returning them.
8	Very comfortable! Absolutely love the look and feel of these shoes. They run slightly too big. But, that doesn't take away from the comfort. I'm not sliding around inside them. I'm able to work in them well and workout in them great. Excellent pair of shoes.
9	I like the style and weight of this shoe, just right for wearing all day.  Good quality components.  However, as other reviewers have said, the insole makes wearing these shoes impossible.  The surface of the insoles is some attractive suede fabric which looks like it will be very comfortable.  In fact, the fabric prevents your foot from sliding into the shoe.  I forced my feet in and my toes were uncomfortably turned in on them selves, I could not possibly wear these shoes like that.  I tried stockings and different types of socks with the same difficulty, I just could not push my foot smoothly into the shoe.  Then I tried taking the insole out of another pair of sneakers and putting them in the Aragon’s.  My foot slid right in but when I walked there was no arch support.  Dilemma, should I send them back or go buy 6 or 7 sets of insoles at the drug store to see if any of them will work.  So disappointing.
10	The tongue is long, stiff, and rough. It rubs my ankles raw.
11	"I have been trying to find a casual, but not too casual, shoe for work. I wanted an athletic shoe fit in a shoe that doesn't look like an athletic shoe. This is pretty close. It works well with chinos or colored denim. They would not look right with ""dress"" pants, but for business casual, it's good. I'm always between 8 and 8.5. I went with an 8 and they fit perfectly.  I also need good support and these are reasonable. I have another pair of Aravon shoes (mary jane) and they also work well. I think this is good brand."
12	I thought they were really cute and fit good but after I decided to wear them around for a day I mopped the floor like I Do every day and I almost slipped so the shoes will not be good for me and my lifestyle very slippery pretty much no tread it would be good for walking as long as you’re never honest with Service but I wouldn’t want to take my chances so back to Searching for a new pair of shoes
13	I'd give them 5 stars if it weren't for the fact that the material on the inside of the shoe keeps pulling on my socks, it's not all the time, but it's frequent enough with certain socks that it becomes annoying to have to stop and pull my socks up which find their way down into my shoes after walking for 10-15 min, also the laces don't seem to stay tied, my recommendation is to buy socks that are really snug around your ankles and use a different pair of laces.... besides that, I think the shoes are really cute, love the choice of brown and blue, I think they work well together, also the shoe has pretty good support, I use my own inserts which fit well in the shoe, but like I said if you don't, the original inserts are pretty good
14	I bought these as a birthday present for myself. I originally wanted to use them as my new jogging shoes. The tongue of the shoe is just too stiff for that though. I am still happy with the shoes cuz they are super cute. Besides the stiff tongue my only other complaint is they seem a tad larger than my other size tens. I have a little more space than I like to have. Otherwise completely awesome!
15	I was so excited to find these shoes. They are super cute!  They were too small, however, and I cannot find the larger size I need.  When I tried them on, they were really stiff and a bit tight.  Who knows maybe they would stretch out as I wore them, but they just didn't fit.  I am disappointed that I can't find the size I need anywhere, but will keep looking.
16	It's a very comfortable and lightweight shoe.  I found it to be pretty true for a size 10, but all shoes run differently.  Other reviews said it ran small, but I didn't find that the case. I bought the 10D width.  The wider width doesn't look odd, it fits the shoe well and my foot.
17	Two years ago I bought this same exact shoes.  I wore them always when choosing a stylish athletic shoe. Originally I bought them when our family was going to go to The Ark in Kentucky and knew we would be doing alot of walking.there has never been a time that my feet hurt when I wear these shoes. And I get compliments often as to how cute they look.  So best shoes for me for comfort and style! Bought them again to update and bought an additional pair in black.
18	Grandson couldn't even get them on, they are so tightly cut.
19	The laces broke after slightly over one week of use. Horrible quality. Before it broke, my son complained it was very uncomfortable, as the metal grommets on the sides rub against the side of his foot.
20	These shoes are cute and jus fine. I wanted to comment on the company actually. I bought these for a wedding for my son to wear and they weren’t going to arrive in time.  I reached out to Amazon with no luck. I finally contacted the company directly and they said they didn’t think they could get them to me in time because of how the process works. However, I literally received these the very next day. Whoever I spoke to, thank you, you obviously went out of your way to get these pulled and shipped to me and I can’t thank you enough. They made it on time and the wedding was gorgeous!!My son kept the shoes on all night and now wears them when he wants to dress up casual  ..he says they are comfy and shoe laces are long enough he can tie them easily
21	When my 8 year old asked for “skate shoes”, I could only picture AirWalks or Vans (which are cute, but don’t fit their wide feet well). I began searching and found these. They are not just skate shoes, but also adorable and good, Adidas quality.
22	Great looking shoe at a great price! I got these in the gray with black stripes and the black with white stripes. Looks exactly like the ones I got from the store that were $20 more. They run big. I wear a women’s 7 in most shoes. I measured my foot on the big kids Adidas size chart and according to it, I should get a 6.5. I got the 6 because they didn’t have any other sizes and based on other reviews from women I was hoping they would work out. They’re big. I measured them against the men’s 7 I had from the store and there wasn’t much difference between the 6 and 7. They measured the same as the men’s 6.5 I had from the store. I would’ve ordered a 5 if they were available. It’s hard to guess with the weird sizing situation. Hopefully putting in some insoles will help because I want to keep them.
23	Very nice shoes. Got them when they were on sale and they are really nice.
24	The shoes fit as expected. I bought these for my seven year old son. He loves how comfortable they are. Definitely worth the buy!
25	Kid loves them. Good fit and comfortable.
26	These shoes fit well and are comfortable.
27	My son likes it. However he said it's heavy. Other than that, it's a great shoe.
28	Brought these for my grandson,  and I'm told it fits him perfectly and he loves them.  He don't ever want to take them off.
29	It’s a tight fit! The top part doesn’t open so it made  it super hard for my son to get the shoe on. We ended up returning the shoes! If #Puma will make it so that the top part can open and then possible Velcro closed or maybe zipper it would be awesome so kids can easily slide their feet in!!
30	This product fits well but may not be ideal for a child that has wide feet. The strap across the top has some stretch but it is very thick and does not stretch easily which may make it difficult for a wider foot to get pass that section. The entire shoe is made very well.
31	Difficult to put on. They are too hard.
32	My Grandson loves his Puma's and so do I️
33	No complains
34	I order  a size 11 kids size shoes received  and 10 it's very tight on my child foot. elastic  that run across cant expands.  sorry I every purchased  this damn shoes
36	It took me a half hour to get these shoes on. Not practical. I returned the item and am still waiting for my refund.
37	The shoe is responsive and that is good. But it would be better to have longer shoe laces
38	love my running shoes!!
39	These were waaaay smaller than the size they were supposed to be.Cute shoes tho.i bought them for my 6 yr old ,but they fit my 4 yr old.so,if you order them,get them 2 sizes bigger than you usually would get.
40	My daughter was size 7 I ordered a size 9 they were still very tight. I'd say size up 10 they would fit perfectly. They super cute otherwise
41	4 stars for sizing issue. Not true to size at all. They run very small. But after return and requesting 3 sizes bigger, we are pleased. The shoes are cute in person than in pic.
42	Honestly look way better in person does not look super cheap in the bowl detail is very decent
43	real cute but ran small, loved the look but had to return
44	To small for my granddaughter
45	Runs smaller than the actual size.
46	Very cute but they run small. Returned it.
47	Ordered a size 6. Looked like size 3. Was very small. Not very good quality.
48	They were extremely small not true to her size at all. Pretty but no good if it don’t fit.
49	Very poor leather quality. The sneakers are very cute and elegant but have been sitting in my closet for the past months. I don’t see myself wearing them again. I wore them for a couple of weeks and they got soiled, as all shoes do. When I tried to clean them with a damp cloth, which I always do with my soiled leather shoes, I got a discoloration as a result that was even bigger than the initial spot, and nothing can be done about it. It cannot be fixed. Unfortunately, a waste of money.
50	Not leather, inside or out. Really smelly polyurethane smell, too. Got them for $23.00, so I'm keeping them. No wonder one of the reviewers stated that they didn't last.
51	This shoe is a bit too tight and the leather shoelaces shed little pieces of leather! They did include a second pair of cotton laces, which is odd.
52	Super cute shoes. The leather laces are just ridiculous because they shed everywhere, but they send regular laces to change them out.
53	"need to put in an insole that supports a foot I don't like wearing flat shoes so I put my own in. The top of the shoe rubbed really bad on my right foot large toe joint which is my ""good"" foot. My left foot with having had major surgeries didn't have same issue. So I am still healing from 2 bad blisters on the right toe joint a week ago."
54	Great quality leather, narrow fit but length is true to size. They're in new condition but came in tissue in an amazon box, no frye box. the laces seem really long and thick for the shoes but overall they're super cute and a great way to dress up sneakers!
55	I bought these shoes despite the price tag of 140$ because they were exactly my style and when I got them I indeed loved the look, however, the first day I wore the shoes (only for 2 hours) I got a blister the size of a quarter (that have caused me to loose sleep for two days do to pain). If shoes are that pricy there is no reason why they shouldn't be built with comfort or at the very least not cause this amount of pain :(
56	Great fit, but the sole is totally flat and hard, offering very little traction. Odd being able to accidentally slide while wearing a tennis shoe. Thick suede laces are not easy to use.
57	I bought these  June 15. The shoes are either defective or counterfeit, it’s now July 21. The return window closed 7 days agoand unfortunately these tennis shoes created a hole where my toe is. I wore them approximately one hour per day and not every day throughout the month. I’ve bought new balance, even this same style,  for years and never had this happen within the first month. They’re either defective in which case I’d like the manufacturer or seller to return them and replace with a new pair or they’re counterfeit and not made well. I’m hoping Amazon or the seller will get in touch with me so we can rectify the situation. Thank you
58	My son is flat-footed with an overpronation problem. These shoes have helped stabilize that. Plus, he is really rough on shoes, but these hold up ok. By the time he grows out of them, they are pretty demolished, but they last long enough for us.
59	These shoes wore out quickly. Fewer than 3 months and they have a big hole and the soles are separating from the shoe. We bought New Balance from the local NB store and they lasted 7 months. These were disappointing.
60	my kid has very wide feet so sizing is always difficult but these fit true to size in XW. I ordered 4 pairs NB (all in different models in xw) and by far he says these have the best cushioning and support. only wish they had more colors.
61	I bought these for my 9yo in a size 7. I came on here and saw a great deal! I got these for $18! It had to be a mistake. My daughter loves them and says she never wants to take them off they are so comfortable. Mom, it feels like I’m walking on clouds!
62	Just under (2)two months and both left and right soles have split apart! Will never purchase these models of NB. Never had any other issues with the other models. Buy at your own risk and NOT recommend these shoes for the kiddos.
63	I purchased these for my daughter in June.  By the time school started in August they had holes in them.  Keep in mind my daughter was wearing flip flops most of the summer, not tennis shoes. These were not worth the money for less than two months of wear.
64	I bought a pair for daily walking and running (5.5 in big kid as I'm a size 7 in women).  I've yet to experience any pain in my feet. I needed a pair of shoes to support my flat feet and the these definitely do the job. The arches are wonderful on my feet and the shoes are light. They're breathable and super bright! I've gotten many compliments. I plan on purchasing another pair before they run out!
65	Good looking shoe. The previous pair we had of this same shoe lasted for almost a year on a boy who is really rough on shoes. Runs a little large. Great for kids who tend to walk on the insides of their feet. Nice color combination.
66	I'm wearing them now.  There're very light BUT very strong!  I'm not quite sure about this, but I'm pretty sure that on a wet floor, they're more stable when I put weight on them.  I simply don't want to know WITHOUT A DOUBT, because I don't want to get my insurance involved. ;]
67	Excellent
68	Very comfortable and the color is accurate
69	Love it I have nothing bad to say about it.
70	Confy, expectrd size
71	nice color
72	These super cute, casual sneaker that are pretty comfy. I personally would prefer a bit more arch support, but they are still comfy for casual wear.  They look cute with shorts, jean, and casual dresses.  I love the little gold details, like eyelets and on the end of the shoe strings.
73	These are easily the worst shoes I’ve ever owned. I love the print, but they are so uncomfortable. There is padding in the bottom and the back of the shoe, but the back of the shoe pinches my heel. I did buy gel inserts to put in the back of the shoe, and they don’t help. I was hoping that the problem would get better once they were broken in, but I’ve worn them almost daily for 2 weeks and it’s not. I will not be buying another pair of Keds.
74	These are so cute but I had to return them as they were way too stiff and would have caused blisters on my heels for sure. I had red marks just from trying them on. Super bummed because they are so cute.
75	I love these shoes. They are so comfortable!
76	Very cute!!
77	Beautiful and comfortable pair of shoes! I absolutely am obsessed with these!!
78	Very cute but horribly uncomfortable and strange sizing. Narrow in toe area but long and stiff, rubs heel. Returning.
79	I love Keds, they are one of my favorites shoes. I especially luv the cheetah print, that is also my favorite.
80	Perfect Fit ! Look Great! So Comfortable!
81	These are great minus the fact the tongue is sewn to the insides of the shoe...maybe that is a thing they do to cleats but my first experience and makes a little difficult to get on but upside doesn’t come off easy either when untied. So otherwise 5star would have been given!
82	The opening for the shoe is fixed. It doesn’t stretch and the opening is small. So unless you have an extremely petit ankle and foot area then these are nearly impossible to put on.  My 9 year old who is petite couldn’t even get these on after trying a second pair a size larger.  Disheartening considering Adidas cleats are our normal go-to.
83	Daughter loved them. Fit was great and they look great too! Daughter is 12.
84	Shoes fit perfect. You have to break them in though. Overall, great fit and great look.
85	No more blisters
86	I wear a size 9 1/2 fits perfect!
87	Too small. I want to return them for a pair that fit comfortably. Have two bloody blisters now.
88	My wife recently used these every day on our cruise and found them to be excellent for dancing.  They are pretty good looking, too.
89	I read many reviews before I bought these. Since so many people said they run big and my last pair of adidas cloudfoam were pretty big, I went half a size down. I usually wear 8.5 so I ordered an 8. They were a little tight the first couple times I wore them so I would advise just ordering them in your regular size. Luckily they've stretched out a bit so my foot fits in there perfectly now. I just have to wear thin socks. The shoes are super light weight. I've used them for the gym and for running errands. Only thing I don't like is that the bottom of the shoe is too smooth. I'd be scared to wear these on a rainy day.
90	Al mes se dañoNo es buena calidad
91	Nice tough shoe for my play hard grandson to wear with his school uniform. He’s hard on shoes and these are holding up nicely.
92	Great shoes for school
93	I own this shoe in denim, burgundy, pink, mint green and now red. Love them all
94	Loved the shoe - super comfortable. Only problem was the color - kid of a taupe-y grey.  Just a little off for my clothing colors.  Would have been great if it was a true dark charcoal grey - otherwise, straight black always works, but sadly, that was not a color option.
95	Way to narrow, plus the upper was not flexible.
96	Good shoes
97	I've been buying dan post albuquerque boots for several years now and they have been great until now. They have obviously changed the manufacturing to a much lower quality. I usually plan on buying a pair every year. I use my boots pretty hard in the garage for welding and fabricating and so far the albuquerque has taken the beating gracefully. But as soon as I opened the box for the new pair I immediately noticed the difference in quality. I included pictures of the old boot compared with the new one. The heal used to have layers of leather between the layers of sole material (rubber, plastic, poly-blablabla whatever?) It was tacked in to place and provided a sturdy support. The new boot has a chunk of foam like garbage the same as any pair of cheap garbage boot one could buy at Walmart. But they compensate for it by coloring it to look like layers of leather. I did try them on and they just didn't feel the same. The sturdy support I have come to count on has been replaced by a feeling of cheap low quality design compromises in exchange for quick profit. With a history of plantar fasciitus I just can't take the chance of wearing low quality footwear. Sorry Dan post, I gotta move on.
98	I bought these with apprehension having Spine issues and a Spinal Implant Device for Pain. I have been a Wellington and Cowboy type Boot guy for Decades and had to stop wearing because of the high Heel causing lower Back Pain and thought I’d try the Dan Post due to the Reviews. I’ve always been a Justin Boot Guy with my first Justin Boots in 1987 but just sent back a pair after wearing them for 5 hours due to Pain and stitches popping on the  Left Boot, Justin has Issues now for some reason. I received my Dan Post today immediately put them on and WOW they are the most comfortable Cowboy Boot I’ve ever put on my Feet, I went to Walmart and walked for 2 hours and zero Back Pain from a non broken in Cowboy Boot, that’s unheard of and if you’re a Boot Person you know what I’m talking about, some discomfort is expected with new Boots. I have a flat kind of wide Foot and wear a 13 tennis shoe and I ordered the 12 EW because they were a lot cheaper and they fit just fine and in fact I could have worn an 11 1/2 and maybe had my Cobbler stretch them if needed. I’m so happy I snagged these Dan Post Boots and I’m just amazed at the Comfort Level from this type of Boot, I can’t imagine how Insanely Comfortable the Blayde or the Storm Tide would be with the extra cushion. I did have to put in an Insole due to my Right Boot missing one but it didn’t matter, these are just a quality Comfortable Boot.Semper Fidelis
